no,subject,writer,password,content,regdate
1,할인 해주세여,hong,1234,케이크 두개 사면 할인해주는거 없어여? ^_^,2020-03-01
6,hong 고객님 답변 드립니다.,admin,1234,"안녕하세요 고객님! 항상 저희 예지케이크를 이용해주셔서 감사합니다~♥
현재 고객님이 요청하신 수량 할인은 따로 없으며 특정 상품을 함께 구입시에 적용되는 패키지 할인만 진행되고 있습니다~
다음 이용 시에는 꼭 패키지 할인을 적용하여 더 많은 혜택을 받으시길 바랍니다!
감사합니다 고객님~♥ ",2020-03-01
2,레터링 꼭 글로만 해야되나요?,simm,1234,친구 생일 케이크에 얼굴 왕따시만하게 그려주고싶은데ㅠㅠ 가능한가요 ? ,2020-03-01
7,simm 고객님 답변 드립니다.,admin,1234,"안녕하세요 고객님! 항상 저희 예지케이크를 이용해주셔서 감사합니다~♥
예지케이크의 모든 상품은 기본적으로 케이크 위에 다양한 토핑이 올라가있어 작은 크기의 레터링 작업만 가능합니다~ㅠㅠ
글자와 작은 이모티콘 정도만 요청 가능하니 꼭 참고 부탁드리겠습니다 !
감사합니다 고객님~♥ ",2020-03-01
18,그럼 레터링은 몇 글자까지 되나요?,simm,1234,최대한 정성스럽고 긴 편지를 써주고 싶어서요,2020-03-02
3,포장 문의드립니다.,yoon,1234,선물 포장 하고싶은데 혹시 가능할까요?,2020-03-02
8,yoon 고객님 답변 드립니다.,admin,1234,"안녕하세요 고객님! 항상 저희 예지케이크를 이용해주셔서 감사합니다~♥
포장 문의건은 온라인에서는 제공되지 않고 있으며 저희 매장에 직접 방문 수령할 시 제공해드리고 있습니다 !
감사합니다 고객님~♥ ",2020-03-02
4,배송 얼마나 걸리나요ㅠㅠ,anne,1234,주문한지 5일지났는데 깜깜무소식이네영.. ,2020-03-02
9,anne 고객님 답변 드립니다.,admin,1234,"안녕하세요 고객님! 항상 저희 예지케이크를 이용해주셔서 감사합니다~♥
예지케이크의 전 주문은 제작이 완료되면 별도로 고객님에게 문자를 보내드립니다.
제작 즉시 바로 배송해드리나, 앞 주문이 밀려있으면 제작이 조금 늦어질 수 있다는 점 양해부탁드리겠습니다 ㅠㅠ
anne 고객님의 경우 오늘 제작 완료되었으며 출고 되어 곧 자택으로 받아보실 수 있을 겁니다 !
최대한 신속, 신선하게 상품을 준비할 수 있도록 노력하겠습니다~
감사합니다 고객님~♥ ",2020-03-02
11,꼭 모레까지 배송부탁드려요!,anne,1234,그날이 친구 생일이라서요 ㅠ,2020-03-03
5,토핑 관련 문의,jung,1234,믹스베리 초콜릿 생크림 케이크 주문하고싶은데 베리 토핑 기존의 반만 올려주시면 안될까요..? 마카롱 같이 시켜서 따로 올릴려구요,2020-03-03
10,jung 고객님 답변 드립니다.,admin,1234,"안녕하세요 고객님! 항상 저희 예지케이크를 이용해주셔서 감사합니다~♥
고객님 요청하신 사항 반영하여 상품 제작 가능하니 고객님 아이디로 바로 주문해주시면됩니다^^
감사합니다 고객님~♥ ",2020-03-03
13,가격은 똑같나요 ?,jung,1234,그럼 토핑 빼는건데 따로 가격 조정은 없나용 ?..,2020-03-03
12,케이크가 잘못왔어요ㅡㅡ,kim,1234,블랙벨벳 케이크 시켰는데 블루베리 쉬폰 케이크로 잘못왔어요; 당장 내일 먹어야하는데;;; 어떻게 하실건가여,2020-03-04
15,kim 고객님 답변 드립니다.,admin,1234,"안녕하세요 고객님! 항상 저희 예지케이크를 이용해주셔서 감사합니다~♥
kim 고객님 주문내역을 보니 블루베리 쉬폰 케이크와 초콜릿 추가로 확인됩니다ㅠㅠ.. 이전주문내역 한번 더 확인해보시고
저희 매장으로 전화주시면 빠른 응대 도와드리겠습니다.
감사합니다 고객님~♥ ",2020-03-04
14,???? 할인 적용 안된채로 결제됬어요,jang,1234,패키지로 구입했는데 할인적용이 안됐을까요 확인좀 해주세요,2020-03-04
16,jang 고객님 답변 드립니다.,admin,1234,"안녕하세요 고객님! 항상 저희 예지케이크를 이용해주셔서 감사합니다~♥
해당 패키지 구입은 쿠폰을 장바구니에 동일하게 넣으셔야 적용이 가능합니다ㅠㅠ
jang 고객님 이전주문내역 확인 후 다시 한번 문의 주시면 취소 후 재결제 도와드리겠습니다~^^
감사합니다 고객님~♥ ",2020-03-04
17,주문 취소 후 재결제했어요.,jang,1234,답변 주신대로 처리했습니다!,2020-03-04
